yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,N,577753,203244,0.351783547640601,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S1
2,parent,N,584702,186744,0.319383207172201,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S2
3,parent,N,678037,385963,0.569235897156055,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S3
4,parent,N,790587,433112,0.54783597504133,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S4
5,parent,N,632547,347420,0.549239819333583,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S5
6,parent,N,380898,151728,0.398342863443757,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S6
7,parent,N,575648,197640,0.343334815720718,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S7
8,parent,N,731477,337836,0.461854576425506,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S8
9,parent,N,734174,363211,0.494720597569513,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S9
10,parent,N,344177,119668,0.347693192746755,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S10
11,parent,N,435601,145910,0.334962500086088,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S11
12,parent,N,378027,97678,0.258388951053761,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S12
13,parent,N,496848,143826,0.289476862138924,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S13
14,parent,N,583369,225040,0.385759270718876,Oct_31_2014,BD50,1xSLAD,day10,ExpN,E0,0,50um S14
15,parent,N,600247,42298,0.0704676574810037,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S1
16,parent,N,575300,84679,0.147191030766557,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S2
17,parent,N,574222,41872,0.0729195328635963,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S3
18,parent,N,518603,110268,0.212625071586551,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S4
19,parent,N,595474,165301,0.277595663286726,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S5
20,parent,N,749446,181230,0.241818623356453,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S6
21,parent,N,602771,179435,0.29768353155676,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S7
22,parent,N,736297,103894,0.141103386269399,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S8
23,parent,N,589586,106504,0.180642009817058,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S9
24,parent,N,671752,136689,0.203481344305637,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S10
25,parent,N,617884,80392,0.130108564067042,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S11
26,parent,N,663519,97830,0.147441143358367,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S12
27,parent,N,840963,146970,0.174763931350131,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S13
28,parent,N,592951,112316,0.189418687210242,Oct_31_2014,BD100,1xSLAD,day10,ExpN,E0,0,100um S14
29,parent,N,468774,9435,0.0201269694991616,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S1
30,parent,N,581950,42463,0.0729667497207664,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S2
31,parent,N,759546,27099,0.0356778917932554,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S3
32,parent,N,497665,37082,0.0745119709041222,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S4
33,parent,N,502580,19457,0.0387142345497234,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S5
34,parent,N,448857,32828,0.0731368787832205,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S6
35,parent,N,766041,50570,0.0660147433361922,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S7
36,parent,N,1315457,141952,0.107910786897633,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S8
37,parent,N,711634,73458,0.103224410300801,Oct_31_2014,BD200,1xSLAD,day10,ExpN,E0,0,200um S9
