Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide,...13,...14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43805,2019-12-12T00:00:00Z,796,2 x SLAD,2 x SLAD (BD agar),50,0,6,66,66,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796,2 x SLAD,2 x SLAD (BD agar),50,400,6,31,31,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796,2 x SLAD,2 x SLAD (BD agar),75,0,6,32,32,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796,2 x SLAD,2 x SLAD (BD agar),75,400,6,56,56,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),50,0,6,42,42,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),50,400,6,50,50,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),75,0,6,42,42,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),75,400,6,40,40,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),50,0,6,31,31,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),50,400,6,35,35,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),75,0,6,36,36,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),75,400,6,35,35,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,0,6,26,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,400,6,25,0,0,0,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),75,0,6,24,5,0.20833333333333334,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),75,400,6,31,0,0,-0.20833333333333334,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),50,0,6,37,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),50,400,6,49,0,0,0,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),75,0,6,37,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),75,400,6,44,0,0,0,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),50,0,6,63,33,0.5238095238095238,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),50,400,6,37,16,0.43243243243243246,-0.09137709137709138,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),75,0,6,54,30,0.5555555555555556,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),75,400,6,44,18,0.4090909090909091,-0.14646464646464646,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,0,6,39,28,0.717948717948718,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,400,6,38,38,1,0.28205128205128205,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,0,6,42,38,0.9047619047619048,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,400,6,23,23,1,0.09523809523809523,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),50,0,6,38,38,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),50,400,6,43,43,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),75,0,6,27,27,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),75,400,6,33,33,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 dur3,2 x SLAD,2 x SLAD (BD agar),50,0,6,24,24,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 dur3,2 x SLAD,2 x SLAD (BD agar),50,400,6,27,27,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 dur3,2 x SLAD,2 x SLAD (BD agar),75,0,6,28,28,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 dur3,2 x SLAD,2 x SLAD (BD agar),75,400,6,27,27,1,0,NA,NA
43805,2019-12-12T00:00:00Z,796 nrt1,2 x SLAD,2 x SLAD (BD agar),50,0,6,38,38,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 nrt1,2 x SLAD,2 x SLAD (BD agar),50,400,6,37,36,0.972972972972973,-0.027027027027026973,NA,NA
43805,2019-12-12T00:00:00Z,796 nrt1,2 x SLAD,2 x SLAD (BD agar),75,0,6,40,40,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 nrt1,2 x SLAD,2 x SLAD (BD agar),75,400,6,53,53,1,0,NA,NA
43805,2019-12-12T00:00:00Z,79 alr2,2 x SLAD,2 x SLAD (BD agar),50,0,6,44,40,0.9090909090909091,NA,NA,NA
43805,2019-12-12T00:00:00Z,79 alr2,2 x SLAD,2 x SLAD (BD agar),50,400,6,42,42,1,0.09090909090909094,NA,NA
43805,2019-12-12T00:00:00Z,79 alr2,2 x SLAD,2 x SLAD (BD agar),75,0,6,40,40,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,79 alr2,2 x SLAD,2 x SLAD (BD agar),75,400,6,43,43,1,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43805,2019-12-19T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,0,13,34,34,1,NA,NA,*grew longer as slow growing mutant
