Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,agar_type,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,50,NA,3,40,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,50,400,3,49,0,0,0
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,50,750,3,47,8,0.1702127659574468,0.1702127659574468
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,75,NA,3,50,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,75,400,3,49,1,2.0408163265306121E-2,0.02040816326530612
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,75,750,3,40,0,0,0
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,100,NA,3,51,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,100,400,3,42,0,0,0
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,100,750,3,50,0,0,0
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,50,NA,3,48,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,50,400,3,39,0,0,0
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,50,750,3,50,30,0.6,0.6
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,75,NA,3,49,5,0.10204081632653061,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,75,400,3,49,49,1,0.8979591836734694
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,75,750,3,40,20,0.5,0.3979591836734694
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,100,NA,3,39,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,100,400,3,38,0,0,0
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,100,750,3,43,1,2.3255813953488372E-2,0.023255813953488372
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,50,NA,3,65,59,0.90769230769230769,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,50,400,3,39,3,7.6923076923076927E-2,-0.8307692307692307
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,50,750,3,44,40,0.90909090909090906,0.0013986013986013734
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,75,NA,3,42,21,0.5,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,75,400,3,42,0,0,-0.5
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,75,750,3,50,6,0.12,-0.38
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,100,NA,3,59,15,0.25423728813559321,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,100,400,3,47,6,0.1276595744680851,-0.1265777136675081
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,100,750,3,48,24,0.5,0.2457627118644068
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,50,NA,3,41,41,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,50,400,3,58,50,0.86206896551724133,-0.13793103448275867
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,50,750,3,45,35,0.77777777777777779,-0.2222222222222222
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,75,NA,3,32,32,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,75,400,3,37,37,1,0
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,75,750,3,51,49,0.96078431372549022,-0.039215686274509776
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,100,NA,3,52,52,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,100,400,3,40,5,0.125,-0.875
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,100,750,3,43,38,0.88372093023255816,-0.11627906976744184
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,NA,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,50,400,3,49,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,75,400,3,49,1,2.0408163265306121E-2,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,100,400,3,42,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,50,400,3,39,3,7.6923076923076927E-2,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,75,400,3,42,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,100,400,3,47,6,0.1276595744680851,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,50,750,3,47,8,0.1702127659574468,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,75,750,3,40,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,100,750,3,50,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,50,750,3,44,40,0.90909090909090906,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,75,750,3,50,6,0.12,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,100,750,3,48,24,0.5,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,50,NA,3,40,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,75,NA,3,50,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD agar,100,NA,3,51,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,50,NA,3,65,59,0.90769230769230769,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,75,NA,3,42,21,0.5,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid agar,100,NA,3,59,15,0.25423728813559321,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,50,400,3,39,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,75,400,3,49,49,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,100,400,3,38,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,50,400,3,58,50,0.86206896551724133,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,75,400,3,37,37,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,100,400,3,40,5,0.125,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,50,750,3,50,30,0.6,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,75,750,3,40,20,0.5,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,100,750,3,43,1,2.3255813953488372E-2,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,50,750,3,45,35,0.77777777777777779,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,75,750,3,51,49,0.96078431372549022,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,100,750,3,43,38,0.88372093023255816,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,50,NA,3,48,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,75,NA,3,49,5,0.10204081632653061,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD agar,100,NA,3,39,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,50,NA,3,41,41,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,75,NA,3,32,32,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid agar,100,NA,3,52,52,1,NA
