Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,agar_type,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,50,NA,6,37,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,50,400,6,49,49,1,1
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,50,750,6,55,55,1,1
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,75,NA,6,32,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,75,400,6,46,0,0,0
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,75,750,6,50,8,0.16,0.16
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,100,NA,6,45,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,100,400,6,40,3,7.4999999999999997E-2,0.075
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,100,750,6,45,6,0.13333333333333333,0.13333333333333333
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,50,NA,6,57,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,50,400,6,43,41,0.95348837209302328,0.9534883720930233
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,50,750,6,38,38,1,1
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,75,NA,6,50,50,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,75,400,6,29,29,1,0
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,75,750,6,58,58,1,0
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,100,NA,6,36,33,0.91666666666666663,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,100,400,6,49,49,1,0.08333333333333337
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,100,750,6,48,48,1,0.08333333333333337
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,50,NA,6,42,42,1,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,50,400,6,48,48,1,0
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,50,750,6,36,36,1,0
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,75,NA,6,47,47,1,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,75,400,6,33,1,3.0303030303030304E-2,-0.9696969696969697
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,75,750,6,46,40,0.86956521739130432,-0.13043478260869568
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,100,NA,6,45,45,1,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,100,400,6,39,12,0.30769230769230771,-0.6923076923076923
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,100,750,6,39,36,0.92307692307692313,-0.07692307692307687
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,50,NA,6,45,45,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,50,400,6,45,45,1,0
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,50,750,6,53,53,1,0
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,75,NA,6,36,36,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,75,400,6,42,42,1,0
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,75,750,6,52,52,1,0
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,100,NA,6,40,40,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,100,400,6,42,42,1,0
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,100,750,6,43,43,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Agar type,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,50,400,6,49,49,1,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,75,400,6,46,0,0,NA
43777,43780,796,1 x SLAD,1 x SLAD,BD Agar,100,400,6,40,3,7.4999999999999997E-2,NA
43777,43780,796,1 x SLAD,1 x SLAD,Oxoid Agar,50,400,6,48,48,1,NA
