Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),50,NA,6,23,23,1,NA
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),50,400,6,27,27,1,0
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),75,NA,6,31,31,1,NA
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),75,400,6,27,27,1,0
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),50,NA,6,42,42,1,NA
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),50,400,6,33,33,1,0
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),75,NA,6,25,25,1,NA
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),75,400,6,41,41,1,0
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),50,NA,6,25,25,1,NA
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),50,400,6,22,22,1,0
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),75,NA,6,42,0,0,NA
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),75,400,6,31,31,1,1
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,51,12,0.23529411764705882,NA
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),50,400,6,35,35,1,0.7647058823529411
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,31,31,1,NA
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),75,400,6,32,31,0.96875,-0.03125
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,58,1,1.7241379310344827E-2,NA
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),50,400,6,79,10,0.12658227848101267,0.10934089917066783
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,76,5,6.5789473684210523E-2,NA
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),75,400,6,69,6,8.6956521739130432E-2,0.02116704805491991
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,32,3,9.375E-2,NA
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),50,400,6,27,27,1,0.90625
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,27,5,0.18518518518518517,NA
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),75,400,6,37,37,1,0.8148148148148149
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),50,NA,6,30,0,0,NA
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),50,400,6,37,0,0,0
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),75,NA,6,40,30,0.75,NA
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),75,400,6,30,1,3.3333333333333333E-2,-0.7166666666666667
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,31,31,1,NA
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),50,400,6,38,38,1,0
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,43,30,0.69767441860465118,NA
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),75,400,6,41,41,1,0.3023255813953488
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,38,28,0.73684210526315785,NA
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),50,400,6,36,36,1,0.26315789473684215
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,32,32,1,NA
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),75,400,6,37,37,1,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),50,400,6,27,27,1,NA
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),75,400,6,27,27,1,NA
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),50,400,6,33,33,1,NA
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),75,400,6,41,41,1,NA
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),50,400,6,22,22,1,NA
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),75,400,6,31,31,1,NA
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),50,400,6,35,35,1,NA
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),75,400,6,32,31,0.96875,NA
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),50,400,6,79,10,0.12658227848101267,NA
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),75,400,6,69,6,8.6956521739130432E-2,NA
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),50,400,6,27,27,1,NA
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),75,400,6,37,37,1,NA
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),50,400,6,37,0,0,NA
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),75,400,6,30,1,3.3333333333333333E-2,NA
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),50,400,6,38,38,1,NA
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),75,400,6,41,41,1,NA
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),50,400,6,36,36,1,NA
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),75,400,6,37,37,1,NA
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),50,NA,6,23,23,1,NA
43784,43790,796,1 x SLAD,2 x SLAD (BD agar),75,NA,6,31,31,1,NA
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),50,NA,6,42,42,1,NA
43784,43790,1278B,1 x SLAD,2 x SLAD (BD agar),75,NA,6,25,25,1,NA
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),50,NA,6,25,25,1,NA
43784,43790,L2056,1 x SLAD,2 x SLAD (BD agar),75,NA,6,42,0,0,NA
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,51,12,0.23529411764705882,NA
43784,43790,796 fat1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,31,31,1,NA
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,58,1,1.7241379310344827E-2,NA
43784,43790,796 gup1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,76,5,6.5789473684210523E-2,NA
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,32,3,9.375E-2,NA
43784,43790,796 nrt1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,27,5,0.18518518518518517,NA
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),50,NA,6,30,0,0,NA
43784,43790,796 skp2,1 x SLAD,2 x SLAD (BD agar),75,NA,6,40,30,0.75,NA
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,31,31,1,NA
43784,43790,796 soa1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,43,30,0.69767441860465118,NA
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),50,NA,6,38,28,0.73684210526315785,NA
43784,43790,796 yor1,1 x SLAD,2 x SLAD (BD agar),75,NA,6,32,32,1,NA
