Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),50,NA,4,33,33,1,NA
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),50,400,4,25,25,1,0
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),75,NA,4,34,34,1,NA
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),75,400,4,38,38,1,0
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),50,NA,4,38,38,1,NA
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),50,400,4,57,57,1,0
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),75,NA,4,39,39,1,NA
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),75,400,4,27,27,1,0
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),50,NA,4,36,1,2.7777777777777776E-2,NA
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),50,400,4,35,2,5.7142857142857141E-2,0.029365079365079365
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),75,NA,4,24,0,0,NA
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),75,400,4,24,2,8.3333333333333329E-2,0.08333333333333333
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),50,NA,4,49,49,1,NA
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),50,400,4,40,40,1,0
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),75,NA,4,44,44,1,NA
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),75,400,4,50,50,1,0
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),50,NA,4,47,47,1,NA
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),50,400,4,30,30,1,0
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),75,NA,4,36,36,1,NA
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),75,400,4,28,28,1,0
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),50,NA,4,36,0,0,NA
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),50,400,4,42,0,0,0
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),75,NA,4,28,0,0,NA
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),75,400,4,40,0,0,0
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),50,NA,4,61,0,0,NA
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),50,400,4,50,0,0,0
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),75,NA,4,54,1,1.8518518518518517E-2,NA
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),75,400,4,47,6,0.1276595744680851,0.10914105594956658
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),50,NA,4,48,48,1,NA
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),50,400,4,42,42,1,0
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),75,NA,4,42,42,1,NA
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),75,400,4,43,43,1,0
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),50,NA,4,34,34,1,NA
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),50,400,4,30,30,1,0
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),75,NA,4,33,33,1,NA
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),75,400,4,24,24,1,0
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),50,NA,4,28,6,0.21428571428571427,NA
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),50,400,4,32,26,0.8125,0.5982142857142857
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),75,NA,4,13,6,0.46153846153846156,NA
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),75,400,4,24,18,0.75,0.28846153846153844
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),50,400,4,25,25,1,NA
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),75,400,4,38,38,1,NA
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),50,400,4,30,30,1,NA
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),75,400,4,24,24,1,NA
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),50,400,4,35,2,0.06,NA
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),75,400,4,24,2,0.08,NA
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),50,400,4,57,57,1,NA
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),75,400,4,27,27,1,NA
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),50,400,4,42,42,1,NA
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),75,400,4,43,43,1,NA
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),50,400,4,30,30,1,NA
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),75,400,4,28,28,1,NA
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),50,400,4,40,40,1,NA
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),75,400,4,50,50,1,NA
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),50,400,4,50,0,0,NA
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),75,400,4,47,6,0.13,NA
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),50,400,4,42,0,0,NA
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),75,400,4,40,0,0,NA
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),50,400,4,32,26,0.81,NA
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),75,400,4,24,18,0.75,NA
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),50,NA,4,33,33,1,NA
43791,43797,796,1 x SLAD,2 x SLAD (BD agar),75,NA,4,34,34,1,NA
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),50,NA,4,34,34,1,NA
43791,43797,796 ccz1,1 x SLAD,2 x SLAD (BD agar),75,NA,4,33,33,1,NA
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),50,NA,4,36,1,0.03,NA
43791,43797,796 cdh1,1 x SLAD,2 x SLAD (BD agar),75,NA,4,24,0,0,NA
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),50,NA,4,38,38,1,NA
43791,43797,796 cvt16,1 x SLAD,2 x SLAD (BD agar),75,NA,4,39,39,1,NA
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),50,NA,4,48,48,1,NA
43791,43797,796 msa1,1 x SLAD,2 x SLAD (BD agar),75,NA,4,42,42,1,NA
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),50,NA,4,47,47,1,NA
43791,43797,796 pep12,1 x SLAD,2 x SLAD (BD agar),75,NA,4,36,36,1,NA
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),50,NA,4,49,49,1,NA
43791,43797,796 tmn3,1 x SLAD,2 x SLAD (BD agar),75,NA,4,44,44,1,NA
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),50,NA,4,61,0,0,NA
43791,43797,796 vsp28,1 x SLAD,2 x SLAD (BD agar),75,NA,4,54,1,0.02,NA
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),50,NA,4,36,0,0,NA
43791,43797,796 whi3,1 x SLAD,2 x SLAD (BD agar),75,NA,4,28,0,0,NA
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),50,NA,4,28,6,0.21,NA
43791,43797,796 yps8,1 x SLAD,2 x SLAD (BD agar),75,NA,4,13,6,0.46,NA
