Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide,Total colony images taken,Total colony images with invasive growth,% of imaged colonies with invasive growth,Increase in % of imaged colonies with IG with added sulfide
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),50,0,6,20,15,0.75,NA,10,7,0.7,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),50,400,6,20,20,1,0.25,10,10,1,0.30000000000000004
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),75,0,6,28,18,0.6428571428571429,NA,10,5,0.5,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),75,400,6,22,20,0.90909090909090906,0.26623376623376616,10,8,0.8,0.30000000000000004
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),50,0,6,40,14,0.35,NA,5,3,0.6,NA
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),50,400,6,43,43,1,0.65,5,5,1,0.4
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),75,0,6,39,3,7.6923076923076927E-2,NA,5,2,0.4,NA
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),75,400,6,45,21,0.46666666666666667,0.38974358974358975,5,2,0.4,0
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),50,0,6,33,23,0.69696969696969702,NA,5,4,0.8,NA
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),50,400,6,25,25,1,0.303030303030303,5,5,1,0.19999999999999996
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),75,0,6,26,2,7.6923076923076927E-2,NA,5,1,0.2,NA
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),75,400,6,25,18,0.72,0.6430769230769231,5,5,1,0.8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 alr2,1 x SLAD,2 x SLAD (BD agar),50,0,6,43,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 alr2,1 x SLAD,2 x SLAD (BD agar),50,400,6,50,11,0.22,0.22,NA,NA,NA,NA
2019_11_29,2019_12_05,798 alr2,1 x SLAD,2 x SLAD (BD agar),75,0,6,52,6,0.11538461538461539,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 alr2,1 x SLAD,2 x SLAD (BD agar),75,400,6,52,0,0,-0.11538461538461539,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 ato3,1 x SLAD,2 x SLAD (BD agar),50,0,6,29,2,6.8965517241379309E-2,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 ato3,1 x SLAD,2 x SLAD (BD agar),50,400,6,36,30,0.83333333333333337,0.764367816091954,NA,NA,NA,NA
2019_11_29,2019_12_05,798 ato3,1 x SLAD,2 x SLAD (BD agar),75,0,6,34,3,8.8235294117647065E-2,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 ato3,1 x SLAD,2 x SLAD (BD agar),75,400,6,37,2,5.4054054054054057E-2,-0.03418124006359301,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 dur3,1 x SLAD,2 x SLAD (BD agar),50,0,6,26,26,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 dur3,1 x SLAD,2 x SLAD (BD agar),50,400,6,38,37,0.97368421052631582,-0.02631578947368418,NA,NA,NA,NA
2019_11_29,2019_12_05,798 dur3,1 x SLAD,2 x SLAD (BD agar),75,0,6,44,44,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 dur3,1 x SLAD,2 x SLAD (BD agar),75,400,6,36,36,1,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 fui1,1 x SLAD,2 x SLAD (BD agar),50,0,6,50,2,0.04,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 fui1,1 x SLAD,2 x SLAD (BD agar),50,400,6,24,22,0.91666666666666663,0.8766666666666666,NA,NA,NA,NA
2019_11_29,2019_12_05,798 fui1,1 x SLAD,2 x SLAD (BD agar),75,0,6,43,30,0.69767441860465118,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 fui1,1 x SLAD,2 x SLAD (BD agar),75,400,6,45,30,0.66666666666666663,-0.03100775193798455,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 mid1,1 x SLAD,2 x SLAD (BD agar),50,0,6,21,13,0.61904761904761907,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 mid1,1 x SLAD,2 x SLAD (BD agar),50,400,6,50,50,1,0.38095238095238093,NA,NA,NA,NA
2019_11_29,2019_12_05,798 mid1,1 x SLAD,2 x SLAD (BD agar),75,0,6,33,33,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 mid1,1 x SLAD,2 x SLAD (BD agar),75,400,6,33,33,1,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 msb2,1 x SLAD,2 x SLAD (BD agar),50,0,6,43,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 msb2,1 x SLAD,2 x SLAD (BD agar),50,400,6,39,2,5.128205128205128E-2,0.05128205128205128,NA,NA,NA,NA
2019_11_29,2019_12_05,798 msb2,1 x SLAD,2 x SLAD (BD agar),75,0,6,39,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 msb2,1 x SLAD,2 x SLAD (BD agar),75,400,6,34,0,0,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 tpo4,1 x SLAD,2 x SLAD (BD agar),50,0,6,52,52,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,797 tpo4,1 x SLAD,2 x SLAD (BD agar),50,400,6,53,53,1,0,NA,NA,NA,NA
2019_11_29,2019_12_05,798 tpo4,1 x SLAD,2 x SLAD (BD agar),75,0,6,37,37,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,799 tpo4,1 x SLAD,2 x SLAD (BD agar),75,400,6,43,43,1,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
List of target yeast deletion mutats:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ato3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ccz1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cdh1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cvt16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cys3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dur3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fat1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fui1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gup1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mid1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msa1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
msb2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nrt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pep12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pma2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
put4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rps8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sac3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
skp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
soa1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tmn3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tpo4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vht1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vps28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
whi3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yhl008c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yor1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA,NA,NA,NA,NA
