Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43805,43809,796,2 x SLAD,2 x SLAD (BD agar),50,0,4,40,40,1,NA
43805,43809,796,2 x SLAD,2 x SLAD (BD agar),50,400,4,43,43,1,0
43805,43809,796,2 x SLAD,2 x SLAD (BD agar),75,0,4,47,47,1,NA
43805,43809,796,2 x SLAD,2 x SLAD (BD agar),75,400,4,49,49,1,0
43805,43809,796 pma2,2 x SLAD,2 x SLAD (BD agar),50,0,4,37,37,1,NA
43805,43809,796 pma2,2 x SLAD,2 x SLAD (BD agar),50,400,4,48,48,1,0
43805,43809,796 pma2,2 x SLAD,2 x SLAD (BD agar),75,0,4,40,40,1,NA
43805,43809,796 pma2,2 x SLAD,2 x SLAD (BD agar),75,400,4,36,36,1,0
43805,43809,796 put4,2 x SLAD,2 x SLAD (BD agar),50,0,4,44,30,0.68181818181818177,NA
43805,43809,796 put4,2 x SLAD,2 x SLAD (BD agar),50,400,4,34,30,0.88235294117647056,0.2005347593582888
43805,43809,796 put4,2 x SLAD,2 x SLAD (BD agar),75,0,4,40,39,0.97499999999999998,NA
43805,43809,796 put4,2 x SLAD,2 x SLAD (BD agar),75,400,4,37,37,1,0.025000000000000022
43805,43809,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,0,4,0,0,0,NA
43805,43809,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,400,4,0,0,0,0
43805,43809,796 vht1,2 x SLAD,2 x SLAD (BD agar),75,0,4,0,0,0,NA
43805,43809,796 vht1,2 x SLAD,2 x SLAD (BD agar),75,400,4,0,0,0,0
43805,43809,796 sac3,2 x SLAD,2 x SLAD (BD agar),50,0,4,31,0,0,NA
43805,43809,796 sac3,2 x SLAD,2 x SLAD (BD agar),50,400,4,28,0,0,0
43805,43809,796 sac3,2 x SLAD,2 x SLAD (BD agar),75,0,4,41,0,0,NA
43805,43809,796 sac3,2 x SLAD,2 x SLAD (BD agar),75,400,4,33,0,0,0
43805,43809,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),50,0,4,43,22,0.51162790697674421,NA
43805,43809,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),50,400,4,47,7,0.14893617021276595,-0.36269173676397826
43805,43809,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),75,0,4,57,15,0.26315789473684209,NA
43805,43809,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),75,400,4,44,19,0.43181818181818182,0.16866028708133973
43805,43809,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,0,4,50,25,0.5,NA
43805,43809,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,400,4,25,13,0.52,0.020000000000000018
43805,43809,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,0,4,45,43,0.9555555555555556,NA
43805,43809,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,400,4,25,1,0.04,-0.9155555555555556
43805,43809,796 tmn3,2 x SLAD,2 x SLAD (BD agar),50,0,4,32,32,1,NA
43805,43809,796 tmn3,2 x SLAD,2 x SLAD (BD agar),50,400,4,39,39,1,0
43805,43809,796 tmn3,2 x SLAD,2 x SLAD (BD agar),75,0,4,38,38,1,NA
43805,43809,796 tmn3,2 x SLAD,2 x SLAD (BD agar),75,400,4,35,35,1,0
43805,43809,796 dur3,2 x SLAD,2 x SLAD (BD agar),50,0,4,27,27,1,NA
43805,43809,796 dur3,2 x SLAD,2 x SLAD (BD agar),50,400,4,19,19,1,0
43805,43809,796 dur3,2 x SLAD,2 x SLAD (BD agar),75,0,4,34,34,1,NA
43805,43809,796 dur3,2 x SLAD,2 x SLAD (BD agar),75,400,4,31,31,1,0
43805,43809,796 nrt1,2 x SLAD,2 x SLAD (BD agar),50,0,4,34,32,0.94117647058823528,NA
43805,43809,796 nrt1,2 x SLAD,2 x SLAD (BD agar),50,400,4,34,34,1,0.05882352941176472
43805,43809,796 nrt1,2 x SLAD,2 x SLAD (BD agar),75,0,4,43,43,1,NA
43805,43809,796 nrt1,2 x SLAD,2 x SLAD (BD agar),75,400,4,40,39,0.97499999999999998,-0.025000000000000022
43805,43809,79 alr2,2 x SLAD,2 x SLAD (BD agar),50,0,4,30,30,1,NA
