yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,Y,732416,169163,0.230965735319818,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,400,796_BD100+400S_4x_Day6_1
2,parent,Y,647877,0,0,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,400,796_BD100+400S_4x_Day6_2
3,parent,Y,939882,0,0,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,400,796_BD100+400S_4x_Day6_3
4,parent,Y,879716,0,0,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,400,796_BD100+400S_4x_Day6_4
5,parent,Y,895255,0,0,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,400,796_BD100+400S_4x_Day6_5
6,parent,N,899269,0,0,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,750,796_BD100+750S_4x_Day6_1
7,parent,Y,811925,386705,0.476281676263202,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_1
8,parent,Y,575769,255921,0.444485548892004,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_2
9,parent,Y,680407,268715,0.394932738787226,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_3
10,parent,Y,730955,260710,0.356670383265728,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_4
11,parent,Y,842532,388032,0.460554613949381,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_5
12,parent,N,883110,310018,0.351052530262368,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_1
13,parent,N,812277,254374,0.313161643134054,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_2
14,parent,N,673511,205185,0.304649812697937,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_3
15,parent,N,551351,213370,0.386994854457505,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_4
16,parent,N,679474,343050,0.504875830421767,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_5
17,parent,N,941942,52418,0.0556488616071903,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_1
18,parent,N,841803,92378,0.109738264178198,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_2
19,parent,N,990293,33256,0.0335819802826032,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_3
20,parent,N,827132,204675,0.247451434595687,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_4
21,parent,N,822914,114539,0.139187083948019,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_5
22,parent,N,880632,134826,0.15310140898809,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_R1
23,parent,N,664659,171874,0.258589743011078,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_R2
24,parent,N,931493,263253,0.282614040041095,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_R3
25,parent,N,580295,275071,0.474019248830336,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_R4
26,parent,N,555133,16760,0.0301909632466454,Dec_03,BD100,1xSLAD,2xSLAD,day13,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_R5
27,parent,N,947993,0,0,Dec_03,BD100,1xSLAD,1xSLAD,day13,ExpC,E1,0,796_BD100_4x_Day6_1
