yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,Y,159712,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD50_2xSLAD+400S_4x_Day3_1
2,parent,Y,229194,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD50_2xSLAD+400S_4x_Day3_2
3,parent,Y,172402,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD50_2xSLAD+400S_4x_Day3_3
4,parent,Y,175390,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD50_2xSLAD+400S_4x_Day3_4
5,parent,Y,180617,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD50_2xSLAD+400S_4x_Day3_5
6,parent,N,327548,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD50_2xSLAD_4x_Day3_1
7,parent,N,300049,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD50_2xSLAD_4x_Day3_2
8,parent,N,327982,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD50_2xSLAD_4x_Day3_3
9,parent,N,309668,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD50_2xSLAD_4x_Day3_4
10,parent,N,282715,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD50_2xSLAD_4x_Day3_5
11,parent,Y,205594,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD75_2xSLAD+400S_4x_Day3_1
12,parent,Y,201539,12066,0.0598693056926947,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD75_2xSLAD+400S_4x_Day3_2
13,parent,Y,202889,11128,0.0548477246178945,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD75_2xSLAD+400S_4x_Day3_3
14,parent,Y,202344,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD75_2xSLAD+400S_4x_Day3_4
15,parent,Y,202715,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq+200S_BD75_2xSLAD+400S_4x_Day3_5
16,parent,N,284633,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD75_2xSLAD_4x_Day3_1
17,parent,N,270539,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD75_2xSLAD_4x_Day3_2
18,parent,N,318414,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD75_2xSLAD_4x_Day3_3
19,parent,N,315029,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD75_2xSLAD_4x_Day3_4
20,parent,N,320339,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq+200S_BD75_2xSLAD_4x_Day3_5
21,parent,Y,151970,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day3_1
22,parent,Y,158061,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day3_2
23,parent,Y,193946,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day3_3
24,parent,Y,195276,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day3_4
25,parent,Y,220031,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day3_5
26,parent,N,256958,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day3_1
27,parent,N,293316,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day3,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day3_2
