yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,Y,868622,142019,0.163499197579615,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_10
2,parent,Y,768397,166609,0.216826718480161,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_1
3,parent,Y,1026888,231810,0.225740294949401,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_2
4,parent,Y,828378,159670,0.19275016960856,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_3
5,parent,Y,855164,193393,0.226147265319868,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_4
6,parent,Y,911855,228849,0.250970823212024,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_5
7,parent,Y,959245,123645,0.128898248101371,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_6
8,parent,Y,630483,55793,0.0884924732308405,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_7
9,parent,Y,803151,137201,0.170828399640914,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_8
10,parent,Y,716952,151534,0.211358640466865,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day6_9
11,parent,N,909809,239400,0.263132151913204,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_10
12,parent,N,1043718,278670,0.266997407345662,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_1
13,parent,N,810939,137492,0.169546661339509,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_2
14,parent,N,827960,167242,0.20199284989613,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_3
15,parent,N,1018158,205326,0.20166418178711,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_4
16,parent,N,1041978,0,0,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_5
17,parent,N,1004064,0,0,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_6
18,parent,N,988748,78100,0.0789887817725042,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_7
19,parent,N,822093,77717,0.0945355330844564,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_8
20,parent,N,861749,0,0,Dec_05,BD50,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day6_9
21,parent,Y,1032157,297031,0.287776956412639,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_10
22,parent,Y,1055555,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_1
23,parent,Y,1025111,318382,0.310582951504764,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_2
24,parent,Y,1037311,350268,0.337669223598323,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_3
25,parent,Y,1037682,286177,0.275784874364208,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_4
26,parent,Y,1069878,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_5
27,parent,Y,1069819,346043,0.323459388924669,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_6
28,parent,Y,972572,101282,0.104138305441654,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_7
29,parent,Y,1074459,68574,0.0638218861771366,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_8
30,parent,Y,1004685,76686,0.0763284014392571,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day6_9
31,parent,N,998509,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_10
32,parent,N,1062632,97815,0.0920497406439859,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_1
33,parent,N,957491,70711,0.0738503025093708,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_2
34,parent,N,1014612,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_3
35,parent,N,991731,175466,0.176929026116961,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_4
36,parent,N,1032534,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_5
37,parent,N,981429,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_6
38,parent,N,917661,177094,0.19298411940793,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_7
39,parent,N,1012241,36071,0.035634794480761,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_8
40,parent,N,1031833,0,0,Dec_05,BD75,1xSLAD,2xSLAD,day6,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day6_9
41,parent,Y,968355,341086,0.352232394111664,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,400,796 _2xSLADliq+200S_BD50_2xSLAD+400S_4x_Day6_1
42,parent,Y,1053756,317446,0.301251902717517,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,400,796 _2xSLADliq+200S_BD50_2xSLAD+400S_4x_Day6_2
43,parent,Y,737633,189655,0.257112954545146,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,400,796 _2xSLADliq+200S_BD50_2xSLAD+400S_4x_Day6_3
44,parent,Y,575301,199279,0.346390845835484,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,400,796 _2xSLADliq+200S_BD50_2xSLAD+400S_4x_Day6_4
45,parent,Y,707205,228412,0.322978485729032,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,400,796 _2xSLADliq+200S_BD50_2xSLAD+400S_4x_Day6_5
46,parent,N,1050807,359826,0.342428248003677,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,0,796 _2xSLADliq+200S_BD50_2xSLAD_4x_Day6_1
47,parent,N,904851,273553,0.302318282236523,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,0,796 _2xSLADliq+200S_BD50_2xSLAD_4x_Day6_2
48,parent,N,758541,23026,0.0303556432677996,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,0,796 _2xSLADliq+200S_BD50_2xSLAD_4x_Day6_3
49,parent,N,747702,0,0,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,0,796 _2xSLADliq+200S_BD50_2xSLAD_4x_Day6_4
50,parent,N,907687,103217,0.1137143090074,Dec_05,BD50,2xSLAD,2xSLAD,day6,ExpA,E4,0,796 _2xSLADliq+200S_BD50_2xSLAD_4x_Day6_5
51,parent,Y,990524,162431,0.163984921112462,Dec_05,BD75,2xSLAD,2xSLAD,day6,ExpA,E4,400,796 _2xSLADliq+200S_BD75_2xSLAD+400S_4x_Day6_1
