yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,N,477934,286667,0.599804575527165,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,0,796 _2xSLADliq_BD50_2xSLAD_4x_Day6_1
2,parent,Y,535978,376652,0.702737798939509,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_10
3,parent,Y,572680,472831,0.825646085073689,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_11
4,parent,Y,628438,445280,0.708550405927076,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_12
5,parent,Y,538757,459088,0.852124427153615,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_13
6,parent,Y,527801,420877,0.797416071587587,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_14
7,parent,Y,594918,441368,0.741897202639691,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_15
8,parent,Y,491997,374852,0.761898954668423,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_16
9,parent,Y,579672,438686,0.756783146331029,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_17
10,parent,Y,503214,355945,0.707343197923746,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_18
11,parent,Y,518336,401045,0.773716276700827,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_19
12,parent,Y,572680,404663,0.706612768037997,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_1
13,parent,Y,482266,400591,0.830643254967176,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_20
14,parent,Y,482266,454700,0.942840672989595,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_2
15,parent,Y,573242,404634,0.705869423384888,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_3
16,parent,Y,541672,412485,0.761503271352405,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_4
17,parent,Y,511904,399899,0.78119920922673,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_5
18,parent,Y,678981,494196,0.72784952745364,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_6
19,parent,Y,524082,369048,0.704179880247747,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_7
20,parent,Y,647227,453642,0.700900920388056,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_8
21,parent,Y,646902,462667,0.715204157662212,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,400,796 _2xSLADliq_BD50_2xSLAD+400S_4x_Day6_9
22,parent,N,705952,386941,0.54811233624949,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,0,796 _2xSLADliq_BD50_2xSLAD_4x_Day6_10
23,parent,N,710896,573627,0.806907058135086,Dec_12,BD50,2xSLAD,2xSLAD,day6,ExpB,E5,0,796 _2xSLADliq_BD50_2xSLAD_4x_Day6_11
