yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,Y,962977,417906,0.433972981701536,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_1
2,parent,Y,741726,285589,0.385033017583312,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_2
3,parent,Y,866397,311559,0.359603045716917,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_3
4,parent,Y,909547,284837,0.31316358582899,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_4
5,parent,Y,989240,413930,0.418432331891149,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD100_2xSLAD+400S_4x_Day6_5
6,parent,Y,1002400,339510,0.338697126895451,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_1
7,parent,Y,933429,285485,0.305845436557039,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_2
8,parent,Y,847498,224421,0.264804164729592,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_3
9,parent,Y,723230,231699,0.320366964865949,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_4
10,parent,Y,862138,377207,0.437525082991354,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD100_2xSLAD+750S_4x_Day6_5
11,parent,Y,988441,57882,0.0585588821184067,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_1
12,parent,Y,1005817,102182,0.101591044891864,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_2
13,parent,Y,1018425,32354,0.0317686623953654,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_3
14,parent,Y,935935,221534,0.236698061296992,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_4
15,parent,Y,928629,124608,0.13418491130473,Nov_14,BD100,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD100_2xSLAD_4x_Day6_5
16,parent,Y,819473,96770,0.118088088320177,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD50_2xSLAD+400S_4x_Day6_1
17,parent,Y,818930,180370,0.220250815087981,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD50_2xSLAD+400S_4x_Day6_2
18,parent,Y,904147,82789,0.0915658626307448,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD50_2xSLAD+400S_4x_Day6_3
19,parent,Y,729155,0,0,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD50_2xSLAD+400S_4x_Day6_4
20,parent,Y,808948,257256,0.318013024322948,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD50_2xSLAD+400S_4x_Day6_5
21,parent,Y,697536,364418,0.522436117992476,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD50_2xSLAD+750S_4x_Day6_1
22,parent,Y,517039,208719,0.403681347055058,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD50_2xSLAD+750S_4x_Day6_2
23,parent,Y,627892,326720,0.520344263026125,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD50_2xSLAD+750S_4x_Day6_3
24,parent,Y,689541,340389,0.49364577305773,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD50_2xSLAD+750S_4x_Day6_4
25,parent,Y,669779,371205,0.554220123354121,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD50_2xSLAD+750S_4x_Day6_5
26,parent,Y,1000981,0,0,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD50_2xSLAD_4x_Day6_1
27,parent,Y,976561,0,0,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD50_2xSLAD_4x_Day6_2
28,parent,Y,902696,0,0,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD50_2xSLAD_4x_Day6_3
29,parent,Y,715922,0,0,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD50_2xSLAD_4x_Day6_4
30,parent,Y,805383,0,0,Nov_14,BD50,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD50_2xSLAD_4x_Day6_5
31,parent,N,825343,448363,0.543244445036791,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD75_2xSLAD+400S_4x_Day6_1
32,parent,N,808263,453091,0.56057372414672,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD75_2xSLAD+400S_4x_Day6_2
33,parent,N,869211,428346,0.492798641526626,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD75_2xSLAD+400S_4x_Day6_3
34,parent,N,852635,456709,0.535644208834965,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD75_2xSLAD+400S_4x_Day6_4
35,parent,N,936302,493912,0.527513558659492,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,400,796_BD75_2xSLAD+400S_4x_Day6_5
36,parent,N,756105,374818,0.495722154991701,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD75_2xSLAD+750S_4x_Day6_1
37,parent,N,574195,199704,0.347798221858428,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD75_2xSLAD+750S_4x_Day6_2
38,parent,N,729597,377705,0.517689902781947,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD75_2xSLAD+750S_4x_Day6_3
39,parent,N,812094,456220,0.561782256733826,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD75_2xSLAD+750S_4x_Day6_4
40,parent,N,816471,420301,0.514777622230306,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,750,796_BD75_2xSLAD+750S_4x_Day6_5
41,parent,Y,919435,457398,0.497477255053375,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD75_2xSLAD_4x_Day6_1
42,parent,Y,888432,462901,0.521031435157671,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD75_2xSLAD_4x_Day6_2
43,parent,Y,922032,451534,0.489716192062748,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD75_2xSLAD_4x_Day6_3
44,parent,Y,892443,457612,0.512763280119851,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD75_2xSLAD_4x_Day6_4
45,parent,Y,709689,373363,0.526093824196232,Nov_14,BD75,1xSLAD,2xSLAD,day6,ExpC,E1,0,796_BD75_2xSLAD_4x_Day6_5
