yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,1278b,Y,588166,393132,0.668403137889643,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD50_2xSLAD+400S_4x_Day6_1
2,1278b,Y,428999,272600,0.635432716626379,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD50_2xSLAD+400S_4x_Day6_2
3,1278b,Y,511301,292383,0.571841244198623,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD50_2xSLAD+400S_4x_Day6_3
4,1278b,Y,563333,425643,0.75557973702943,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD50_2xSLAD+400S_4x_Day6_4
5,1278b,Y,575749,463576,0.805170308589333,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD50_2xSLAD+400S_4x_Day6_5
6,1278b,N,792206,684180,0.863639002986597,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD50_2xSLAD_4x_Day6_1
7,1278b,N,744757,636083,0.854081264090166,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD50_2xSLAD_4x_Day6_2
8,1278b,N,659625,520577,0.789201440212242,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD50_2xSLAD_4x_Day6_3
9,1278b,N,666467,490012,0.735238203842051,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD50_2xSLAD_4x_Day6_4
10,1278b,N,752344,528837,0.702919143370586,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD50_2xSLAD_4x_Day6_5
11,1278b,Y,478352,432705,0.904574455631,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD75_2xSLAD+400S_4x_Day6_2
12,1278b,Y,768271,661163,0.860585652718897,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD75_2xSLAD+400S_4x_Day6_3
13,1278b,Y,609100,538254,0.883687407650632,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD75_2xSLAD+400S_4x_Day6_4
14,1278b,Y,586095,484980,0.827476774243083,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,1278bP_BD75_2xSLAD+400S_4x_Day6_5
15,1278b,N,963644,746613,0.774780935698245,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD75_2xSLAD_4x_Day6_1
16,1278b,N,744152,516749,0.694413238155646,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD75_2xSLAD_4x_Day6_2
17,1278b,N,892832,560135,0.627368866707287,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD75_2xSLAD_4x_Day6_3
18,1278b,N,978034,704108,0.719921802309531,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD75_2xSLAD_4x_Day6_4
19,1278b,N,929098,722594,0.77773711707484,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,1278bP_BD75_2xSLAD_4x_Day6_5
20,fat1,Y,769544,395063,0.513372854573618,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD50_2xSLAD+400S_4x_Day6_1
21,fat1,Y,719251,293783,0.408456853031834,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD50_2xSLAD+400S_4x_Day6_2
22,fat1,Y,653257,276054,0.422581005637904,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD50_2xSLAD+400S_4x_Day6_3
23,fat1,Y,666059,251123,0.377028161168905,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD50_2xSLAD+400S_4x_Day6_4
24,fat1,N,769380,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD50_2xSLAD_4x_Day6_1
25,fat1,N,673700,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD50_2xSLAD_4x_Day6_2
26,fat1,N,822236,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD50_2xSLAD_4x_Day6_3
27,fat1,N,866403,22057,0.0254581297617852,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD50_2xSLAD_4x_Day6_4
28,fat1,N,757364,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD50_2xSLAD_4x_Day6_5
29,fat1,Y,1046212,240346,0.22972972972973,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD75_2xSLAD+400S_4x_Day6_1
30,fat1,Y,1007424,31898,0.0316629343751985,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD75_2xSLAD+400S_4x_Day6_2
31,fat1,Y,896433,54892,0.0612338010760425,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD75_2xSLAD+400S_4x_Day6_3
32,fat1,Y,942409,104042,0.110400049235523,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD75_2xSLAD+400S_4x_Day6_4
33,fat1,Y,819317,71231,0.0869394874023119,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 fat1_BD75_2xSLAD+400S_4x_Day6_5
34,fat1,N,964321,252889,0.262245663010554,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_1
35,fat1,N,965100,252713,0.261851621593617,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_2
36,fat1,N,731905,21885,0.0299014216325889,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_3a
37,fat1,N,797551,345901,0.433703926143908,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_3b
38,fat1,N,909850,348701,0.383251085343738,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_3
39,fat1,N,1054452,375834,0.356425897053635,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_4
40,fat1,N,980376,327943,0.334507372681502,Nov_21,BD75,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 fat1_BD75_2xSLAD_4x_Day6_5
41,gup1,Y,282480,22035,0.0780055225148683,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 gup1_BD50_2xSLAD+400S_4x_Day6_1
42,gup1,Y,285727,27199,0.0951922639442545,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 gup1_BD50_2xSLAD+400S_4x_Day6_2
43,gup1,Y,433825,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 gup1_BD50_2xSLAD+400S_4x_Day6_3
44,gup1,Y,422755,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 gup1_BD50_2xSLAD+400S_4x_Day6_4
45,gup1,Y,447945,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,400,796 gup1_BD50_2xSLAD+400S_4x_Day6_5
46,gup1,N,433559,0,0,Nov_21,BD50,1xSLAD,2xSLAD,day6,ExpD,E2,0,796 gup1_BD50_2xSLAD_4x_Day6_1
