yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,ccz1,Y,251987,100556,0.399052332064749,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day4_1
2,ccz1,Y,302084,115435,0.382128811853657,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day4_2
3,ccz1,Y,323336,149184,0.461390009154564,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day4_3
4,ccz1,Y,326623,140707,0.430793299920704,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day4_4
5,ccz1,Y,316437,121206,0.383033589624475,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day4_5
6,ccz1,N,424963,121583,0.286102554810654,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day4_1
7,ccz1,N,455637,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day4_2
8,ccz1,N,363620,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day4_3
9,ccz1,N,424618,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day4_4
10,ccz1,N,417082,66364,0.159114994173808,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day4_5
11,ccz1,Y,365394,158158,0.432842356470002,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_1
12,ccz1,Y,432322,119352,0.276072001887482,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_2
13,ccz1,Y,411913,157696,0.382838123584349,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_3
14,ccz1,Y,423035,140277,0.331596676397934,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_4
15,ccz1,Y,363150,132018,0.363535729037588,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_5
16,ccz1,Y,835067,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_giant contaminant1
17,ccz1,Y,828644,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day4_giant contaminant2
18,ccz1,N,525162,276903,0.527271584768129,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day4_1
19,ccz1,N,437912,143632,0.327992838743857,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day4_2
20,ccz1,N,442529,147167,0.332558996133587,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day4_3
21,ccz1,N,501830,225887,0.450126536875037,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day4_4
22,ccz1,N,471905,232042,0.491713374513938,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day4_5
23,cdh1,Y,325072,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day4_1
24,cdh1,Y,302290,32948,0.108994673988554,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day4_2
25,cdh1,Y,331134,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day4_3
26,cdh1,Y,351933,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day4_4
27,cdh1,Y,323146,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day4_5
28,cdh1,N,437817,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day4_1
29,cdh1,N,447830,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day4_2
30,cdh1,N,442859,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day4_3
31,cdh1,N,410025,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day4_4
32,cdh1,N,416504,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day4,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day4_5
33,cdh1,Y,385650,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day4_1
34,cdh1,Y,422614,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day4_2
35,cdh1,Y,341009,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day4_3
36,cdh1,Y,428741,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day4,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day4_4
