yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,vht,Y,517120,438651,0.84825765779703,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD50+400S_2xSLAD_4x_Day13_1
2,vht,Y,538144,451322,0.838664000713564,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD50+400S_2xSLAD_4x_Day13_2
3,vht,Y,414640,319076,0.769525371406521,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD50+400S_2xSLAD_4x_Day13_3
4,vht,Y,517849,366026,0.706819941720463,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD50+400S_2xSLAD_4x_Day13_4
5,vht,Y,571391,467449,0.818089539387215,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD50+400S_2xSLAD_4x_Day13_5
6,vht,N,657960,538531,0.818485926196121,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD50_2xSLAD_4x_Day13_1
7,vht,N,457317,90388,0.19764845829042,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD50_2xSLAD_4x_Day13_2
8,vht,N,576566,467618,0.81103984626218,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD50_2xSLAD_4x_Day13_3
9,vht,N,523677,384368,0.733979151270726,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD50_2xSLAD_4x_Day13_4
10,vht,N,508389,302276,0.594576200507879,Dec_03,BD50,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD50_2xSLAD_4x_Day13_5
11,vht,Y,580222,307506,0.529979904243548,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD75+400S_2xSLAD_4x_Day13_1
12,vht,Y,578034,262646,0.454378116166177,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD75+400S_2xSLAD_4x_Day13_2
13,vht,Y,579193,497757,0.859397471999834,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD75+400S_2xSLAD_4x_Day13_3
14,vht,Y,655567,528453,0.80610067315774,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD75+400S_2xSLAD_4x_Day13_4
15,vht,Y,516353,414120,0.802009478012135,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,400,vht1_2xSLADliq_BD75+400S_2xSLAD_4x_Day13_5
16,vht,N,891626,687372,0.770919645681037,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD75_2xSLAD_4x_Day13_1
17,vht,N,727170,541918,0.745242515505315,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD75_2xSLAD_4x_Day13_2
18,vht,N,731182,621562,0.850078366261751,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD75_2xSLAD_4x_Day13_3
19,vht,N,641483,450507,0.702289850237652,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD75_2xSLAD_4x_Day13_4
20,vht,N,639624,508113,0.79439326854527,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD75_2xSLAD_4x_Day13_5-2
21,vht,N,641673,505058,0.787095607887507,Dec_03,BD75,2xSLAD,2xSLAD,day13,ExpE,E3,0,vht1_2xSLADliq_BD75_2xSLAD_4x_Day13_5-1
